"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 26 17:07:53 MSK 2021","Fri Mar 26 17:08:09 MSK 2021","16050","final","test_basket_page","TestBasketPage","","","test_set_null_items_in_basket",""
"passed","Fri Mar 26 17:09:05 MSK 2021","Fri Mar 26 17:09:20 MSK 2021","14858","final","test_catalogue_page","TestCataloguePage","","","test_next_pagination_catalogue[3]",""
"passed","Fri Mar 26 17:10:34 MSK 2021","Fri Mar 26 17:10:49 MSK 2021","14921","final","test_catalogue_page","TestCataloguePage","","","test_prev_pagination_catalogue[4]",""
"skipped","Fri Mar 26 17:07:34 MSK 2021","Fri Mar 26 17:07:50 MSK 2021","15137","final","test_basket_page","TestBasketPage","","","test_delete_items_from_basket",""
"passed","Fri Mar 26 17:10:52 MSK 2021","Fri Mar 26 17:10:55 MSK 2021","3629","final","test_catalogue_page","TestCataloguePage","","","test_view_button_to_basket",""
"passed","Fri Mar 26 17:09:23 MSK 2021","Fri Mar 26 17:09:38 MSK 2021","15054","final","test_catalogue_page","TestCataloguePage","","","test_next_pagination_catalogue[4]",""
"passed","Fri Mar 26 17:10:16 MSK 2021","Fri Mar 26 17:10:31 MSK 2021","14836","final","test_catalogue_page","TestCataloguePage","","","test_prev_pagination_catalogue[3]",""
"passed","Fri Mar 26 17:10:58 MSK 2021","Fri Mar 26 17:11:03 MSK 2021","4474","final","test_catalogue_page","TestCataloguePage","","","test_guest_can_add_product_to_basket",""
"passed","Fri Mar 26 17:08:12 MSK 2021","Fri Mar 26 17:08:26 MSK 2021","13861","final","test_catalogue_page","TestCataloguePage","","","test_guest_can_view_catalogue",""
"skipped","Fri Mar 26 17:09:41 MSK 2021","Fri Mar 26 17:09:55 MSK 2021","13279","final","test_catalogue_page","TestCataloguePage","","","test_prev_pagination_catalogue[1]",""
"passed","Fri Mar 26 17:08:29 MSK 2021","Fri Mar 26 17:08:44 MSK 2021","15092","final","test_catalogue_page","TestCataloguePage","","","test_next_pagination_catalogue[1]",""
"passed","Fri Mar 26 17:07:16 MSK 2021","Fri Mar 26 17:07:31 MSK 2021","15846","final","test_basket_page","TestBasketPage","","","test_update_params_in_basket",""
"passed","Fri Mar 26 17:09:58 MSK 2021","Fri Mar 26 17:10:13 MSK 2021","14757","final","test_catalogue_page","TestCataloguePage","","","test_prev_pagination_catalogue[2]",""
"passed","Fri Mar 26 17:08:47 MSK 2021","Fri Mar 26 17:09:02 MSK 2021","14880","final","test_catalogue_page","TestCataloguePage","","","test_next_pagination_catalogue[2]",""
