"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 13 15:04:28 MSK 2021","Sat Mar 13 15:04:42 MSK 2021","13721","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Mar 13 15:03:30 MSK 2021","Sat Mar 13 15:03:34 MSK 2021","4138","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Mar 13 15:05:18 MSK 2021","Sat Mar 13 15:05:21 MSK 2021","2407","module_5","test_product_page","TestProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sat Mar 13 15:02:27 MSK 2021","Sat Mar 13 15:02:32 MSK 2021","4094","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sat Mar 13 15:02:36 MSK 2021","Sat Mar 13 15:02:40 MSK 2021","3834","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sat Mar 13 15:03:22 MSK 2021","Sat Mar 13 15:03:26 MSK 2021","4195","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sat Mar 13 15:02:58 MSK 2021","Sat Mar 13 15:03:03 MSK 2021","4302","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sat Mar 13 15:04:21 MSK 2021","Sat Mar 13 15:04:25 MSK 2021","3495","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sat Mar 13 15:04:15 MSK 2021","Sat Mar 13 15:04:18 MSK 2021","3153","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"skipped","Sat Mar 13 15:04:03 MSK 2021","Sat Mar 13 15:04:11 MSK 2021","8224","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"skipped","Sat Mar 13 15:03:14 MSK 2021","Sat Mar 13 15:03:19 MSK 2021","4468","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sat Mar 13 15:03:06 MSK 2021","Sat Mar 13 15:03:10 MSK 2021","4291","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sat Mar 13 15:04:54 MSK 2021","Sat Mar 13 15:05:05 MSK 2021","10990","module_5","test_product_page","TestProductPage","","","test_user_cant_see_success_message",""
"skipped","Sat Mar 13 15:03:38 MSK 2021","Sat Mar 13 15:03:42 MSK 2021","3980","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Mar 13 15:02:02 MSK 2021","Sat Mar 13 15:02:16 MSK 2021","14055","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 13 15:02:20 MSK 2021","Sat Mar 13 15:02:24 MSK 2021","4289","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Mar 13 15:02:51 MSK 2021","Sat Mar 13 15:02:55 MSK 2021","4151","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Mar 13 15:03:46 MSK 2021","Sat Mar 13 15:03:59 MSK 2021","13479","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 13 15:05:24 MSK 2021","Sat Mar 13 15:05:27 MSK 2021","3060","module_5","test_screenshots","","","","test_item_page_has_add_basket_button",""
"passed","Sat Mar 13 15:02:43 MSK 2021","Sat Mar 13 15:02:47 MSK 2021","4005","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Sat Mar 13 15:01:55 MSK 2021","Sat Mar 13 15:01:58 MSK 2021","3202","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
